Generation,MaxFitness,BestObjectiveValue_f
0,0.00005,18403.5150800221
1,0.00017,5904.9203573780
2,0.00127,783.7223726323
3,0.00241,414.2425680908
4,0.00344,289.4112700702
5,0.00344,289.4112700702
6,0.00373,266.8605918071
7,0.00373,266.7849975193
8,0.00447,222.8030398776
9,0.00447,222.8030398776
10,0.00447,222.8030398776
11,0.00448,222.4013189998
12,0.00448,222.4012754321
13,0.00460,216.1967860226
14,0.00460,216.1895993060
15,0.00461,216.0595445543
16,0.00461,216.0595445543
17,0.00461,216.0595445543
18,0.06331,14.7953963577
19,0.06331,14.7952576821
20,0.07091,13.1029582404
21,0.07091,13.1029582404
22,0.07097,13.0911002494
23,0.07316,12.6684953259
24,0.07826,11.7780247121
25,0.07826,11.7780247121
26,0.07826,11.7780247121
27,0.07826,11.7780247121
28,0.07826,11.7778877282
29,0.07829,11.7722694416
30,0.08131,11.2989799067
31,0.08131,11.2989799067
32,0.08131,11.2989799067
33,0.08131,11.2989799067
34,0.08147,11.2737145544
35,0.09899,9.1021441295
36,0.09900,9.1006425722
37,0.09900,9.1006425722
38,0.09900,9.1006425722
39,0.09900,9.1006425722
40,0.09900,9.1006425722
41,0.09902,9.0985071047
42,0.09902,9.0985071047
43,0.09902,9.0985050721
44,0.09902,9.0985050721
45,0.09981,9.0193390891
46,0.09981,9.0193390891
47,0.09981,9.0193390891
48,0.09981,9.0193390891
49,0.09981,9.0193390891
50,0.09981,9.0192743279
51,0.09982,9.0178268848
52,0.09982,9.0178268848
53,0.09982,9.0178268848
54,0.09982,9.0178268848
55,0.09982,9.0178268848
56,0.09982,9.0178268848
57,0.09982,9.0178268848
58,0.09982,9.0176275320
59,0.09982,9.0176275320
60,0.09982,9.0176275320
61,0.09982,9.0176275320
62,0.09984,9.0160367306
63,0.09984,9.0160367306
64,0.09984,9.0160367306
65,0.10007,8.9930469575
66,0.10059,8.9417390633
67,0.10059,8.9417390633
68,0.10059,8.9417390633
69,0.10059,8.9417390633
70,0.10059,8.9417390633
71,0.10059,8.9417390633
72,0.10059,8.9414127180
73,0.10061,8.9394426026
74,0.10062,8.9379677008
75,0.10062,8.9379677008
76,0.10062,8.9379677008
77,0.10062,8.9379677008
78,0.10062,8.9379677008
79,0.10062,8.9379677008
80,0.10062,8.9379677008
81,0.10062,8.9379676475
82,0.10062,8.9379676475
83,0.10062,8.9379574428
84,0.10062,8.9379119535
85,0.10083,8.9178462263
86,0.10083,8.9178462263
87,0.10083,8.9178462263
88,0.10083,8.9178462263
89,0.10083,8.9178462263
90,0.10083,8.9178462263
91,0.10084,8.9166101940
92,0.10084,8.9166101940
93,0.10084,8.9166101940
94,0.10084,8.9166101940
95,0.10085,8.9160688634
96,0.10085,8.9160688634
97,0.10085,8.9160688634
98,0.10085,8.9160688634
99,0.10085,8.9157663050
100,0.10085,8.9157663050
101,0.10085,8.9157663050
102,0.10085,8.9157663050
103,0.10085,8.9157064842
104,0.10085,8.9157064842
105,0.10085,8.9157064842
106,0.10085,8.9157064842
107,0.10085,8.9157064842
108,0.10085,8.9157064842
109,0.10085,8.9157064842
110,0.10085,8.9157064842
111,0.10085,8.9157064842
112,0.10085,8.9156926693
113,0.10085,8.9156921085
114,0.10085,8.9156911683
115,0.10085,8.9156270724
116,0.10085,8.9154285878
117,0.10085,8.9154285878
118,0.10085,8.9154285878
119,0.10085,8.9154285878
120,0.10085,8.9153785677
121,0.10085,8.9153522434
122,0.10085,8.9153522434
123,0.10085,8.9153521540
124,0.10085,8.9153136976
125,0.10085,8.9153021972
126,0.10085,8.9153021972
127,0.10085,8.9153021972
128,0.10085,8.9153021972
129,0.10085,8.9152716040
130,0.10085,8.9152716040
131,0.10085,8.9152716040
132,0.10085,8.9152715780
133,0.10085,8.9152715780
134,0.10085,8.9152668081
135,0.10085,8.9152668081
136,0.10086,8.9151952170
137,0.10086,8.9151952170
138,0.10086,8.9151952170
139,0.10086,8.9151252745
140,0.10086,8.9151252745
141,0.10086,8.9151252745
142,0.10086,8.9151252228
143,0.10086,8.9151252228
144,0.10086,8.9150985714
145,0.10086,8.9150985714
146,0.10086,8.9150985714
147,0.10086,8.9150957451
148,0.10086,8.9150957451
149,0.10086,8.9150957451
150,0.10086,8.9150957451
151,0.10086,8.9150814100
152,0.10086,8.9150814100
153,0.10086,8.9150814100
154,0.10086,8.9150814100
155,0.10086,8.9150814100
156,0.10086,8.9150814100
157,0.10086,8.9150813842
158,0.10086,8.9150813842
159,0.10086,8.9150813842
160,0.10086,8.9150785566
161,0.10086,8.9150785566
162,0.10086,8.9150718716
163,0.10086,8.9150718716
164,0.10086,8.9150718716
165,0.10086,8.9150697525
166,0.10086,8.9150697266
167,0.10086,8.9150697266
168,0.10086,8.9150697266
169,0.10086,8.9150680770
170,0.10086,8.9150680770
171,0.10086,8.9150680770
172,0.10086,8.9150680770
173,0.10086,8.9150616423
174,0.10086,8.9150616423
175,0.10086,8.9150616423
176,0.10086,8.9150616423
177,0.10086,8.9150616423
178,0.10086,8.9150616423
179,0.10086,8.9150444847
180,0.10086,8.9150444847
181,0.10086,8.9150444847
182,0.10086,8.9150444847
183,0.10086,8.9150444847
184,0.10086,8.9150444847
185,0.10086,8.9150444847
186,0.10086,8.9150444847
187,0.10086,8.9150432817
188,0.10086,8.9150432817
189,0.10086,8.9150432817
190,0.10086,8.9150432817
191,0.10086,8.9150432817
192,0.10086,8.9150432817
193,0.10086,8.9150349471
194,0.10086,8.9150349471
195,0.10086,8.9150349471
196,0.10086,8.9150349471
197,0.10086,8.9150337550
198,0.10086,8.9150337550
199,0.10086,8.9150337550
200,0.10086,8.9150328283
