Generation,MaxFitness,BestObjectiveValue_f
0,0.00013,7612.9414418109
1,0.00310,321.7234508917
2,0.01414,69.7009989283
3,0.04477,21.3360687411
4,0.04477,21.3360687411
5,0.04479,21.3243822712
6,0.04479,21.3243822712
7,0.05056,18.7781822311
8,0.05056,18.7781822311
9,0.05056,18.7781822311
10,0.05056,18.7781815829
11,0.05056,18.7781815829
12,0.05056,18.7781815829
13,0.05062,18.7569599717
14,0.05062,18.7569599717
15,0.05916,15.9037812198
16,0.06458,14.4853557429
17,0.06458,14.4853557429
18,0.06458,14.4853557429
19,0.07384,12.5422410555
20,0.07384,12.5422410554
21,0.07384,12.5422409374
22,0.07384,12.5422409374
23,0.07393,12.5271141590
24,0.09623,9.3914507091
25,0.09623,9.3914504729
26,0.09630,9.3844131983
27,0.09645,9.3681012352
28,0.09645,9.3681012352
29,0.09645,9.3681012352
30,0.09645,9.3681012352
31,0.09672,9.3396220534
32,0.09693,9.3162728156
33,0.09693,9.3162728156
34,0.09693,9.3162728156
35,0.09693,9.3162728156
36,0.09693,9.3162728156
37,0.09693,9.3162728156
38,0.09772,9.2333059770
39,0.09772,9.2333059770
40,0.09772,9.2333059770
41,0.09774,9.2315743805
42,0.09774,9.2315743805
43,0.09776,9.2292840223
44,0.09824,9.1794314583
45,0.09835,9.1681974076
46,0.09835,9.1680013852
47,0.09835,9.1680013852
48,0.09871,9.1311341178
49,0.09871,9.1311341178
50,0.09871,9.1311341178
51,0.09872,9.1297542572
52,0.09872,9.1297542572
53,0.09872,9.1297542572
54,0.09872,9.1297542572
55,0.09878,9.1231047940
56,0.09878,9.1231047940
57,0.09878,9.1231047940
58,0.10051,8.9495910175
59,0.10051,8.9495910175
60,0.10051,8.9495910175
61,0.10051,8.9495910171
62,0.10051,8.9495909548
63,0.10051,8.9495909548
64,0.10051,8.9495909548
65,0.10053,8.9471081782
66,0.10054,8.9460464580
67,0.10054,8.9460464580
68,0.10055,8.9450970109
69,0.10055,8.9450970109
70,0.10055,8.9450967829
71,0.10055,8.9450945800
72,0.10072,8.9282337988
73,0.10072,8.9282337988
74,0.10072,8.9282337988
75,0.10072,8.9282337988
76,0.10073,8.9278363488
77,0.10073,8.9278363488
78,0.10073,8.9272620328
79,0.10073,8.9272620328
80,0.10073,8.9272620328
81,0.10073,8.9272620328
82,0.10073,8.9272620328
83,0.10073,8.9272620328
84,0.10074,8.9261821510
85,0.10074,8.9261821510
86,0.10076,8.9249705897
87,0.10076,8.9249705897
88,0.10076,8.9249705897
89,0.10076,8.9249705897
90,0.10076,8.9249705897
91,0.10076,8.9249705897
92,0.10076,8.9249705897
93,0.10076,8.9249705897
94,0.10076,8.9249631260
95,0.10076,8.9249631260
96,0.10076,8.9249631260
97,0.10076,8.9249631260
98,0.10077,8.9237254673
