Generation,MaxFitness,BestObjectiveValue_f
99,0.10077,8.9237254673
100,0.10077,8.9237254673
101,0.10077,8.9237254673
102,0.10077,8.9237254673
103,0.10077,8.9237242627
104,0.10077,8.9237242627
105,0.10077,8.9237180036
106,0.10077,8.9237180036
107,0.10077,8.9231092519
108,0.10077,8.9231092519
109,0.10077,8.9231092519
110,0.10078,8.9230751335
111,0.10078,8.9230751335
112,0.10078,8.9230751335
113,0.10078,8.9230751335
114,0.10078,8.9230751335
115,0.10078,8.9230394048
116,0.10078,8.9230381262
117,0.10078,8.9230381262
118,0.10078,8.9230381262
119,0.10079,8.9214577002
120,0.10079,8.9214577002
121,0.10079,8.9214577002
122,0.10079,8.9214577002
123,0.10079,8.9214577002
124,0.10079,8.9214577002
125,0.10079,8.9214576978
126,0.10079,8.9214576978
127,0.10079,8.9214576978
128,0.10082,8.9185179386
129,0.10082,8.9185179386
130,0.10082,8.9185179386
131,0.10082,8.9185179386
132,0.10082,8.9185179386
133,0.10082,8.9185179386
134,0.10082,8.9185179386
135,0.10082,8.9185179386
136,0.10082,8.9184616276
137,0.10082,8.9184616276
138,0.10082,8.9184616275
139,0.10082,8.9184616275
140,0.10082,8.9184616275
141,0.10082,8.9184616275
142,0.10082,8.9184563455
143,0.10082,8.9184563455
144,0.10082,8.9184563455
145,0.10082,8.9184563455
146,0.10083,8.9173613297
147,0.10083,8.9173613297
148,0.10083,8.9173613297
149,0.10083,8.9173613297
150,0.10083,8.9173570519
151,0.10083,8.9173570519
152,0.10083,8.9173570519
153,0.10083,8.9172808324
154,0.10083,8.9172808324
155,0.10083,8.9172808324
156,0.10083,8.9172245256
157,0.10083,8.9172239267
158,0.10083,8.9172192320
159,0.10083,8.9172138041
160,0.10083,8.9172138041
161,0.10083,8.9172138041
162,0.10083,8.9172138041
163,0.10084,8.9171809092
164,0.10084,8.9170718999
165,0.10084,8.9170718999
166,0.10084,8.9169165050
167,0.10084,8.9169165050
168,0.10084,8.9169165050
169,0.10084,8.9169165050
170,0.10084,8.9169165050
171,0.10084,8.9169165050
172,0.10084,8.9169165050
173,0.10084,8.9169165050
174,0.10084,8.9169165050
175,0.10084,8.9169093604
176,0.10084,8.9169093604
177,0.10084,8.9169093604
178,0.10084,8.9169093604
179,0.10084,8.9169075993
180,0.10084,8.9169075993
181,0.10084,8.9169075993
182,0.10084,8.9169075993
183,0.10084,8.9169059843
184,0.10084,8.9166255703
185,0.10084,8.9166255703
186,0.10084,8.9166255703
187,0.10084,8.9166255703
188,0.10084,8.9166255703
189,0.10084,8.9166255703
190,0.10084,8.9165909575
191,0.10084,8.9165909575
192,0.10084,8.9165571705
193,0.10084,8.9165571705
194,0.10084,8.9165571705
195,0.10084,8.9165537939
196,0.10085,8.9154604311
197,0.10085,8.9154604311
198,0.10085,8.9154604311
199,0.10085,8.9154604310
200,0.10085,8.9154604310
201,0.10085,8.9154519762
202,0.10085,8.9154519762
203,0.10085,8.9154519762
204,0.10085,8.9152992522
205,0.10085,8.9152992522
206,0.10085,8.9152992522
207,0.10085,8.9152306369
208,0.10085,8.9152306369
209,0.10085,8.9152306369
210,0.10085,8.9152306369
211,0.10085,8.9152306369
212,0.10085,8.9152306369
213,0.10085,8.9152306369
214,0.10085,8.9152289715
215,0.10085,8.9152289715
216,0.10085,8.9152289715
217,0.10085,8.9152289715
218,0.10086,8.9152203983
219,0.10086,8.9152115616
220,0.10086,8.9151935785
221,0.10086,8.9151928540
222,0.10086,8.9151928540
223,0.10086,8.9151928540
224,0.10086,8.9151928540
225,0.10086,8.9151928540
226,0.10086,8.9151928540
227,0.10086,8.9151928540
228,0.10086,8.9151872009
229,0.10086,8.9151872009
230,0.10086,8.9151872009
231,0.10086,8.9151872009
232,0.10086,8.9151858747
233,0.10086,8.9151855378
234,0.10086,8.9151855378
235,0.10086,8.9151849495
236,0.10086,8.9151665688
237,0.10086,8.9151665688
238,0.10086,8.9151665688
239,0.10086,8.9151665688
240,0.10086,8.9150939596
241,0.10086,8.9150939596
242,0.10086,8.9150939596
243,0.10086,8.9150939596
244,0.10086,8.9150253899
245,0.10086,8.9150253154
246,0.10086,8.9150253154
247,0.10086,8.9150253154
248,0.10086,8.9150253135
249,0.10086,8.9150253112
250,0.10086,8.9150253112
251,0.10086,8.9150253112
252,0.10086,8.9150253104
253,0.10086,8.9150244864
254,0.10086,8.9150244864
255,0.10086,8.9150244864
256,0.10086,8.9150244864
257,0.10086,8.9150244856
258,0.10086,8.9150244856
259,0.10086,8.9150244822
260,0.10086,8.9150244822
261,0.10086,8.9150244822
262,0.10086,8.9150239868
263,0.10086,8.9150239868
264,0.10086,8.9150239868
265,0.10086,8.9150239868
266,0.10086,8.9150239862
267,0.10086,8.9150239862
268,0.10086,8.9150239862
269,0.10086,8.9150239803
270,0.10086,8.9150239537
271,0.10086,8.9150238875
272,0.10086,8.9150238875
273,0.10086,8.9150238875
274,0.10086,8.9150238875
275,0.10086,8.9150238875
276,0.10086,8.9150238544
277,0.10086,8.9150238508
278,0.10086,8.9150238508
279,0.10086,8.9150238508
280,0.10086,8.9150238508
281,0.10086,8.9150238508
282,0.10086,8.9150232920
283,0.10086,8.9150232920
284,0.10086,8.9150232920
285,0.10086,8.9150232920
286,0.10086,8.9150232920
287,0.10086,8.9150232920
288,0.10086,8.9150232920
289,0.10086,8.9150231857
290,0.10086,8.9150231857
291,0.10086,8.9150231857
292,0.10086,8.9150231857
293,0.10086,8.9150231857
294,0.10086,8.9150231857
295,0.10086,8.9150231857
296,0.10086,8.9150228877
297,0.10086,8.9150228856
298,0.10086,8.9150228856
299,0.10086,8.9150228856
300,0.10086,8.9150228856
